username, created_at, lng, lat, text
shvedovskaya, Thu Jan 28 22:20:23 +0000 2021, 37.427643, 55.754787, #Свободноевремя https://t.co/yB3cMxIYyx 
MeMaquiandoAtoa, Thu Jan 28 22:20:47 +0000 2021, -59.980325, -2.572425, Você foi marcado no TikTok Não é propaganda, é DINHEIRO de verdade!Codigo: J2352291 https://t.co/lWI67RxYix 
Fran_Gamen, Thu Jan 28 22:21:05 +0000 2021, -58.771802, -34.501594, JAJAJA "hey puto" le decía https://t.co/9o7XbNc0cu 
IAmDanielDavid, Thu Jan 28 22:21:52 +0000 2021, -0.060167, 51.547645, Check out Danieldavidofficial's video! #TikTok https://t.co/l2YEMG5pqN 
carpideeyemm, Thu Jan 28 22:22:22 +0000 2021, 123.871337, 9.661769, @TrooperOtter @jessaaanng @iamjnina Tungod nimo bot ma ban ang tiktok sa us 
trytostopJane, Thu Jan 28 22:23:37 +0000 2021, -94.279122, 39.014860, . @FBI 🚨🚨🚨🚨🚨https://t.co/Ym1dlLUQZ5 
_kolormered, Thu Jan 28 22:24:57 +0000 2021, -83.654079, 32.848817, i can’t wait to make a tiktok from this sound 😂😂😂 
ahmedmamun539, Thu Jan 28 22:25:04 +0000 2021, 90.500000, 23.616700, Tiktok Vibes @ Purbachal 300 Feet Road https://t.co/KNiffZODBm 
trytostopJane, Thu Jan 28 22:25:15 +0000 2021, -94.279122, 39.014860, https://t.co/xrfV6zcUc8 
gad287081, Thu Jan 28 22:25:41 +0000 2021, 42.533355, 18.303816, https://t.co/4e8dm1CwA8 
itsjoebro_, Thu Jan 28 22:26:18 +0000 2021, -85.491540, 32.597245, So I redid the Silhouette challenge and TikTok put my account under review 😅 
doineilforlife, Thu Jan 28 22:26:24 +0000 2021, 14.465875, 50.059580, @annasulcova hanba Ti ty zaprodaná šmucko 
carmeng____, Thu Jan 28 22:27:03 +0000 2021, -3.891385, 40.524749, Me he creado esta cuenta donde iré subiendo alguna chorradilla relacionada con sesiones de fotos: edición, el momen… https://t.co/UB8E4v8clC 
gerianejaniceee, Thu Jan 28 22:27:06 +0000 2021, 123.000131, 10.652827, MISMO 
LoupSolitaire_, Thu Jan 28 22:27:16 +0000 2021, 2.457493, 48.937127, je trouve sa bien vitfai tiktok pour des danses mais sans plus 
KarennNoemii, Thu Jan 28 22:27:19 +0000 2021, -118.876498, 34.283083, Oh.... 👀👀🥵 
Manningonthemic, Thu Jan 28 22:27:19 +0000 2021, -80.404734, 27.630996, Yo this @ajdillon7 and @BostonConnr  feud is what I’ve lived for. AJ bout to commit first degree manslaughter..... 
trytostopJane, Thu Jan 28 22:27:28 +0000 2021, -94.279122, 39.014860, .@tiktok take this account down now👇👇👇👇👇https://t.co/sC7O4owtPY 
faressfalou, Thu Jan 28 22:27:39 +0000 2021, 4.835099, 45.757822, 😭😭😭😭😭😭😭😭😭Incroyable 
amandadorable__, Thu Jan 28 22:27:56 +0000 2021, 2.195544, 48.783921, POUAAAAHAHAHHAHAHAHAHAHAH 
AlmutairiBadger, Thu Jan 28 22:27:58 +0000 2021, 46.685077, 24.721944, https://t.co/oqtOWXPEc1 
maminena, Thu Jan 28 22:28:52 +0000 2021, -112.124676, 33.552863, If a teacher allows for a TikTok to be submitted for an assignment ... 💯 my child is doing one ... She’d be a schol… https://t.co/ofHz4Rruzn 
ThatChakMlaxpin, Thu Jan 28 22:29:08 +0000 2021, -2.407320, 53.820395, Tiktok is so great BC one minute I can be watching a video about different states of matter and then the next I can… https://t.co/y9vJs4q3y7 
xteferreira, Thu Jan 28 22:29:33 +0000 2021, -41.941329, -22.470359, Minha irmã fica o dia inteiro gravando coreografia de tiktok. Qualquer música que ela ouve ela começa a fazer a dança DO NADA 
Travis_Loso, Thu Jan 28 22:29:36 +0000 2021, -80.846785, 35.209059, 😂😂😂 
lainegayart, Thu Jan 28 22:30:31 +0000 2021, -84.433106, 33.767195, This already got removed from Tiktok for nudity 😫 
TheKvng_J, Thu Jan 28 22:30:37 +0000 2021, -96.761753, 32.819858, I was bored lol #SilhouetteChallenge #TikTok https://t.co/BRYv7Uj8Gk 
LovelyShampagne, Thu Jan 28 22:30:58 +0000 2021, -73.831187, 40.670879, I do not blame the owner! https://t.co/Qw1I3xb49K 
TLeighAnn13, Thu Jan 28 22:31:02 +0000 2021, -87.732013, 41.833585, Open market still? @RobinhoodApp https://t.co/hgIPGNnHz2 
FukYoFeelings, Thu Jan 28 22:31:37 +0000 2021, -79.420865, 38.003376, That nigga dead bro 😂 
gaysinthelife, Thu Jan 28 22:31:54 +0000 2021, -86.142922, 39.779562, @ThisIsTheRead and @GettinGrownPod have me calling Miss Rona the Panera Bread or the Panasonic 😂😂😂 
vitrolles13127, Thu Jan 28 22:32:00 +0000 2021, 4.911671, 45.735455, https://t.co/n24T6S2mOB 
company_balloon, Thu Jan 28 22:32:40 +0000 2021, -122.818486, 49.111519, https://t.co/Kj68Ij8IQi 
nbellejones, Thu Jan 28 22:33:26 +0000 2021, -96.797700, 32.777400, Walay lingaw si maninay. Hehehe#tiktok #tiktokers #trending #pinoy @ Dallas, Texas https://t.co/7A3GblZatR 
jayhood614, Thu Jan 28 22:33:40 +0000 2021, -82.985772, 39.994684, Check out MORINGA's video! #TikTok https://t.co/ODOzbpvVg9 
